"key","message","comment","context"
"Inv. on",,,
"Invalid merchant",,,
"Invalid user number or visual cryptogram.",,,
"Invoice",,,
"Invoice with given id (%s) not found",,,
"Invoices",,,
"Invoices (to pay)",,,
"Invoices to be paid",,,
"Is requested",,,
"Is shared",,,
"Last name",,,
"Late invoices",,,
"Manage announcement",,,
"Manage discussion",,,
"Manage eShop",,,
"Manage idea",,,
"Manage quotation",,,
"Missing Paypal Configuration",,,
"Missing Paypal Order for given id %s",,,
"Missing Paypal OrderId",,,
"Name","Имя",,
"New ticket",,,
"No Default card specified",,,
"No Stripe card found with given id %s",,,
"No quotation is generated yet.",,,
"No reference present in %s",,,
"No reply from customer for previous Quotation, do you wants to replace it with new one?",,,
"No tax line found for Partner (%s) and Company (%s)",,,
"No values found for reference %s",,,
"OK",,,
"Old invoices",,,
"On",,,
"Open post",,,
"Open sent quotation",,,
"Open tickets",,,
"Operation without 3DSecure authentication, blocked by the filter.",,,
"Order confirmed",,,
"Order date",,,
"Order end of validity",,,
"Other pictures",,,
"Paid on",,,
"Paid successfully",,,
"Partner",,,
"Partner Email Address is missing",,,
"Partner categories",,,
"Pay invoice",,,
"Paybox backup1",,,
"Paybox backup2",,,
"Paybox configuration",,,
"Paybox currency (ISO 4217 codes)",,,
"Paybox error",,,
"Paybox identifiant",,,
"Paybox key",,,
"Paybox paybox",,,
"Paybox rank",,,
"Paybox site",,,
"Paybox url",,,
"Payment",,,
"Payment already made.",,,
"Payment amount",,,
"Payment fail",,,
"Payment refused by the authorization center.",,,
"Payment with selected card is declined please review card",,,
"Paypal Application Client ID",,,
"Paypal Application Client Secret",,,
"Paypal configuration",,,
"Paypal merchant ID",,,
"Paypal order amount is not same as SaleOrder amount",,,
"Pending discount",,,
"Pending payment",,,
"Picture",,,
"Please enable paypal from configuration",,,
"Please install axelor customer portal app",,,
"Please select the portal quotation(s) to print.",,,
"Portal",,,
"Portal quotation",,,
"Post",,,
"Post by",,,
"Post on",,,
"Post unread ids",,,
"Preferences",,,
"Print",,,
"Product",,,
"Product category",,,
"Product with id (%s) not found",,,
"Projects",,,
"Proposed quotation",,,
"Public key",,,
"Public key validation failed at %s",,,
"Purchases",,,
"Quantity must be greater than 0",,,
"Quotaions in progress",,,
"Quotation",,,
"Quotation confirmation code",,,
"Quotation confirmation code template",,,
"Quotation confirmation template",,,
"Quotation declined",,,
"Quotation generation template",,,
"Quotation history",,,
"Quotation is canceled",,,
"Quotation is confirmed",,,
"Quotation is sent successfully",,,
"Quotation orders",,,
"Quotation refused",,,
"Quotation requested",,,
"Quotation sent to the customer",,,
"Quotations",,,
"Quotations history",,,
"Quotations to confirm",,,
"Receive notifications for announcement",,,
"Receive notifications for discussion",,,
"Ref. on",,,
"Refunds",,,
"Related stripe customer is deleted",,,
"Reopen",,,
"Report",,,
"Reserved.",,,
"Resource unread ids",,,
"Sale order",,,
"Sale orders",,,
"SaleOrder with given id (%s) not found",,,
"Select the card for payment",,,
"Seller notification template",,,
"Send quotation to customer",,,
"Sent quotation",,,
"Shared with",,,
"Sign",,,
"Signature",,,
"Status",,,
"Stripe card",,,
"Stripe charge",,,
"Stripe configuration",,,
"Stripe configuration is missing",,,
"Stripe id",,,
"Stripe secret key",,,
"Subscribe",,,
"Tag color",,,
"Tags",,,
"Task",,,
"Tasks to be treated by provider",,,
"There is already a default card",,,
"Tickets",,,
"Tickets assigned to my company",,,
"Tickets assigned to service provider",,,
"Title",,,
"Total A.T.I.",,,
"Total W.T.",,,
"Total amount",,,
"Total tax",,,
"Total tickets",,,
"Total vote",,,
"Totals",,,
"Type",,,
"Unaccept",,,
"Unknown currency.",,,
"Unknown error",,,
"Unsubscribe",,,
"Unvote",,,
"Updated on",,,
"Used to verify the request coming from paybox",,,
"User doesn't have associated partner",,,
"Validated",,,
"Vote",,,
"Voters",,,
"Your card was declined. This transaction requires authentication",,,
"client.Resource",,,
"client.Resources",,,
"whatever@example.com",,,
